school_id,year,practices_blended_learning,practices_competency_education,practices_design_marginalized,practices_staffing_infrastructure,practices_learner_agency,practices_expanded_success,practices_a_la_carte,practices_enriched_virtual,practices_opportunities_mastery,practices_advancement_mastery,practices_performance_assessment,practices_grading_mastery,practices_assessment_schedule,practices_competency_framework,practices_equity_plan,practices_rigorous_coursework,practices_graduation_supports,practices_ell_supports,practices_flexible_staffing,practices_flexible_facilities,practices_flexible_schedule,practices_real_time_data,practices_quality_materials,practices_multi_age,practices_interoperability,practices_student_goals,practices_student_pace,practices_learning_paths,practices_student_data,practices_interdisciplinary,practices_real_world,practices_measures_college,practices_assessments_deeper,practices_measures_purpose,practices_assessments_sel,practices_measures_climate,practices_hiring_practices,practices_relevant_learning,practices_information_formats,practices_accommodations,practices_data_instruction,practices_adaptive_content,practices_mentoring,practices_expanded_open_hours,practices_experiential,practices_maker,practices_pbl,practices_sel,practices_udl,practices_reallocation_resources,practices_design_margins,practices_restorative,practices_culturally_responsive,"practices_elimination_tracking
",practices_poverty_supports,practices_immigrants_supports,practices_oer,practices_devices_home,practices_learner_profiles,practices_projects_primary,practices_student_projects,practices_career_prep,practices_service_learning,practices_place_based,practices_local_global,practices_design_thinking,practices_community_partnerships,practices_makerspace,practices_assessments_career,practices_sel_plan,practices_sel_integrated,practices_advisories,practices_ways_mastery,practices_mental_health,practices_physical_well_being,practices_community_supports,practices_station_rotation,practices_student_conferences,practices_circles,practices_flipped_classroom,practices_lab_rotation,practices_flex,practices_extended_learning,practices_sel_curriculum,practices_wraparound,practices_individual_rotation,"practices_teachers_leaders
",practices_fully_in_person,practices_hybrid,practices_remote_accommodations,practices_family_learning,practices_digital_materials,practices_families_choose_modality,practices_synchronous_online,practices_print_materials,practices_anti_racist,practices_trauma_informed,practices_social_justice,practices_portfolios_exhibitions,practices_asynchronous_online,practices_virtual_enrichment,practices_meet_professionals,practices_rotating_schedule,practices_hiring_equity,"practices_families_leaders
",practices_dual_credit,practices_early_college,practices_tutoring,practices_fully_remote,practices_peer_to_peer,practices_industry_credentials,practices_alternating_days,practices_teachers_choose_modality,practices_dual_language,practices_alternating_weeks,practices_half_days,practices_mtss_academics,practices_disaggregated_participation_data,"practices_students_leaders
",practices_virtual_pathway,practices_adult_wellness,"practices_all_courses_designed_for_inclusion
","practices_co_leaders
","practices_community_leaders
",practices_assessments_agency,practices_other_leaders,"practices_heritage_language
",practices_assessments_bilingual,practices_translanguaging,"practices_industry_leaders
"
693,2023,1,0,1,,,0,1,1,0,0,0,1,,1,,,,,1,1,,0,,0,1,1,1,1,1,0,0,,0,,1,,,,,1,,0,1,1,,,1,0,0,1,,1,1,,,,,,0,0,0,1,1,1,,0,1,0,1,,1,1,0,1,0,1,0,0,0,0,,0,1,1,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,,,0,0,,1,1,0,,1,1,1,1,,,,1,,1
691,2023,0,1,0,,,0,0,0,1,0,1,1,,0,,,,,0,0,,0,,0,,0,0,1,0,0,0,,1,,1,,,,,0,,0,0,0,,,1,0,1,0,,1,1,,,,,,0,0,1,0,0,1,,0,1,0,,,1,0,0,1,0,1,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,1,0,,1,,0,,1,,,,,,,1,1,
690,2023,1,0,0,,,0,0,0,1,0,0,1,,0,,,,,0,0,,0,,0,,0,0,0,0,0,0,,0,,0,,,,,0,,0,0,0,,,1,0,0,0,,1,1,,,,,,0,0,1,0,0,0,,0,0,0,,,1,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,1,0,,1,,1,,,,,,,
688,2023,1,0,1,,,0,0,0,1,0,1,0,,1,,,,,0,1,,0,,0,1,1,1,0,1,1,0,,1,,1,,,,,1,,0,1,0,,,1,0,1,1,,1,0,,,,,,0,0,0,1,0,1,,1,1,0,,,0,1,0,1,0,1,0,0,0,1,,1,1,0,,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,,,0,0,,1,1,0,,1,1,,,,,,,,
685,2023,0,1,1,,,0,0,0,1,0,1,1,,0,,,,,0,1,,0,,0,,1,0,0,0,1,0,,1,,1,,,,,1,,0,0,0,,,1,0,1,0,,1,1,1,,,,,0,0,1,1,0,0,,1,0,1,,,0,1,0,1,0,0,0,1,0,0,,0,0,0,,,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,,,0,0,,1,,1,,1,1,1,,1,,,,,
683,2023,1,1,1,,,0,1,0,1,1,1,1,,1,,,,,1,1,,0,,1,,1,1,1,0,1,0,,0,,1,,,,,1,,0,1,0,,,1,0,1,1,,1,1,1,,,,,0,0,1,1,1,1,,0,1,1,,,1,1,0,1,0,1,0,1,0,1,,0,1,1,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,,,0,0,,1,1,1,,1,1,1,,,,1,,1,
681,2023,0,1,1,,,0,0,0,1,1,0,0,,0,,,,,1,1,,0,,1,,0,1,1,0,1,0,,1,,0,,,,,1,,0,0,0,,,1,0,0,0,,0,1,1,,,,,0,0,0,0,0,0,,0,1,0,,,1,1,0,1,1,0,0,0,0,0,,0,1,1,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,,,0,0,,0,,0,,1,1,,,,,,,,
680,2023,0,1,1,,,0,0,0,1,1,1,1,,1,,,,,1,1,,0,,1,,1,0,0,1,1,0,,0,,1,,,,,1,,0,0,0,,,1,0,0,0,,1,1,1,,,,,0,0,1,1,0,1,,1,1,1,,,1,1,0,0,1,1,0,1,0,0,,0,1,1,,,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,,,0,0,,1,,0,,,1,,,,,1,,,
679,2023,0,0,1,,,0,0,0,1,0,0,1,,0,,,,,1,1,,0,,0,,0,0,0,0,1,0,,0,,0,,,,,1,,0,0,0,,,0,0,1,1,,0,1,,,,,,0,0,0,0,0,0,,0,0,0,,,1,0,0,1,0,0,0,1,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,1,0,,,1,,,,,,,,
678,2023,1,0,1,,,0,0,0,0,0,0,0,,0,,,,,0,0,,0,,0,,0,0,0,0,0,0,,0,,0,,,,,1,,0,0,0,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0,,0,0,0,,,0,1,0,0,1,0,0,0,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,1,0,,1,,0,,,1,,,,,,1,,
676,2023,0,0,0,,,0,0,0,0,0,0,0,,0,,,,,0,0,,0,,1,,0,0,0,0,0,0,,0,,0,,,,,1,,0,0,0,,,0,0,1,0,,0,0,,,,,,0,0,0,0,0,0,,1,0,0,,,1,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,,1,,0,,,,,,,,,,,
674,2023,0,0,0,,,0,0,0,0,0,1,0,,0,,,,,0,0,,0,,0,,0,0,0,1,0,0,,0,,0,,,,,1,,0,0,1,,,1,0,1,0,,0,1,,,,,,0,0,0,1,1,0,,0,1,0,,,0,1,0,1,0,1,0,1,0,0,,0,1,0,,,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,,,1,0,,1,,0,,,1,,,,,,1,,
672,2023,0,0,1,,,0,0,0,1,1,1,0,,0,,,,,0,0,,0,,0,1,0,1,1,1,1,0,,1,,1,,,,,1,,0,1,0,,,1,0,1,0,,1,1,,,,,,0,0,1,1,0,0,,1,1,1,1,,1,1,0,1,0,0,0,0,0,0,,0,1,1,,,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,,,0,0,,1,1,0,,,1,,,,,,,,
669,2023,0,1,1,,,0,0,0,1,1,1,1,,1,,,,,0,1,,0,,1,1,1,1,1,1,0,0,,1,,1,,,,,1,,0,0,1,,,0,0,1,1,,0,1,,,,,,0,0,0,0,0,0,,0,0,1,,,1,0,0,1,1,1,0,0,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,1,0,,,1,,,,,,,,
668,2023,1,0,1,,,0,1,0,0,0,0,0,,0,,,,,1,0,,0,,1,,1,1,1,0,1,0,,0,,0,,,,,1,,0,0,0,,,1,0,1,0,,1,0,1,,,,,0,0,1,0,1,1,,0,0,1,,,1,0,0,1,0,1,0,1,0,0,,0,1,0,,,1,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,,,0,0,,0,,1,,1,,1,,,,,,,
666,2023,0,0,1,,,0,0,0,1,0,1,0,,1,,,,,0,0,,0,,1,,1,0,1,0,0,0,,0,,0,,,,,1,,0,0,0,,,1,0,1,0,,1,1,1,,,,,0,0,0,0,0,0,,0,1,0,,,0,1,0,1,0,1,0,1,0,0,,0,0,1,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,,1,,0,,1,1,1,,,,,,,
665,2023,0,0,0,,,0,0,0,0,0,0,0,,0,,,,,1,1,,0,,0,,0,0,0,0,1,0,,1,,1,,,,,0,,0,0,0,,,1,0,0,0,,1,0,,,,,,0,0,1,0,0,1,,1,1,1,,,0,0,0,0,0,0,0,1,0,0,,0,1,1,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,,0,,0,,,1,,,1,,,,,
663,2023,0,0,1,,,0,0,0,1,0,0,1,,0,,,,,0,0,,0,,0,,0,0,0,0,0,0,,0,,1,,,,,0,,0,0,0,,,0,0,0,0,,1,1,,,,,,0,0,0,0,0,0,,0,0,0,,,1,0,0,1,0,1,0,0,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,1,0,,1,,0,,1,1,,,,,,1,,
662,2023,1,1,0,,,0,0,0,1,1,1,0,,0,,,,,0,1,,0,,1,,1,1,1,0,1,0,,1,,1,,,,,1,,0,1,0,,,1,0,1,0,,1,1,,,,,,0,0,1,0,0,1,,0,1,0,,,1,0,0,1,0,1,0,1,0,0,,1,0,1,,,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,0,,0,,0,,,,,,1,,,,,
660,2023,0,0,1,,,0,0,0,1,0,0,0,,0,,,,,0,1,,0,,0,,0,0,0,1,0,0,,1,,0,,,,,0,,0,1,0,,,1,0,0,0,,0,1,,,,,,0,0,1,0,1,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,1,0,,,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,0,0,,0,,0,,,1,,,,,,,,
659,2023,1,0,0,,,0,0,0,1,0,0,0,,0,,,,,0,0,,0,,0,1,1,0,0,1,0,0,,1,,0,,,,,0,,0,0,0,,,0,0,0,1,,0,1,,,,,,0,0,0,0,1,0,,0,1,1,,,0,0,0,0,0,0,1,1,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,,1,,0,,1,1,,,,,,,,
658,2023,0,0,0,,,0,0,0,1,0,0,0,,0,,,,,1,0,,0,,0,,0,0,0,0,0,0,,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,1,0,0,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,0,,0,,0,,,,,,,,,,,
657,2023,0,1,1,,,0,0,0,1,0,1,1,,1,,,,,1,0,,0,,0,,0,0,0,1,0,0,,0,,0,,,,,0,,0,1,0,,,0,0,1,0,,1,0,,,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,1,0,1,0,0,0,0,,0,1,1,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,,1,1,0,,1,,,,,,,,,
656,2023,1,1,1,,,0,0,0,0,0,1,1,,0,,,,,1,1,,0,,0,,1,1,1,1,0,0,,1,,1,,,,,1,,0,0,1,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,1,0,1,1,0,0,0,,1,1,1,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,0,,1,,0,,,,,,,,,1,,
655,2023,1,1,1,,,0,0,0,1,1,1,1,,1,,,,,0,0,,0,,1,,1,0,0,0,1,0,,1,,0,,,,,1,,0,0,1,,,1,0,1,1,,1,1,1,,,,,0,0,1,0,0,1,,1,1,0,,,0,1,0,1,1,1,0,0,0,1,,0,1,0,,,1,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0,,1,1,0,,,,1,1,1,,,,,
654,2023,0,1,1,,,0,0,0,1,1,1,1,,1,,,,,1,1,,0,,0,1,0,0,1,1,1,0,,1,,0,,,,,1,,0,1,1,,,1,0,1,0,,1,1,1,,,,,0,0,0,1,0,1,,1,1,0,,,1,1,0,1,0,0,0,0,0,0,,0,1,0,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,,0,0,,1,1,1,,1,1,1,1,1,,,,,
653,2023,0,1,1,,,0,0,0,1,0,1,1,,1,,,,,0,1,,0,,0,,0,0,0,1,1,0,,1,,0,,,,,1,,0,0,0,,,1,0,1,1,,1,1,1,,,,,0,0,0,0,0,0,,0,0,1,,,1,1,0,1,0,0,0,0,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,,0,,,1,,,,,,,1,
652,2023,1,0,0,,,0,0,0,0,0,0,0,,0,,,,,0,0,,0,,0,,0,0,0,0,0,0,,0,,0,,,,,0,,0,0,0,,,0,0,1,0,,1,0,1,,,,,0,0,1,1,0,0,,0,1,0,,,0,0,0,1,0,1,1,1,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,,0,0,,1,,0,,,1,,,,,,,,
651,2023,0,0,1,,,0,0,0,1,1,0,0,,0,,,,,1,1,,0,,1,,1,1,1,1,1,0,,1,,0,,,,,1,,0,0,0,,,1,0,1,0,,0,0,,,,,,0,0,1,1,1,1,,1,1,1,,,0,0,0,0,0,0,0,0,0,0,,0,1,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,0,,1,,0,,,1,,,1,,,,,
650,2023,0,1,0,,,0,0,0,1,0,1,1,,0,,,,,1,1,,0,,0,,0,0,0,1,0,0,,1,,0,,,,,0,,0,0,0,,,1,0,0,0,,1,0,,,,,,0,0,1,1,0,0,,1,1,0,1,,0,0,0,1,0,1,0,0,0,0,,0,1,0,,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,,,1,0,,1,,0,,,1,,,,,,1,,
649,2023,0,0,1,,,0,0,0,1,0,1,1,,0,,,,,1,1,,0,,0,,1,0,0,1,0,0,,1,,1,,,,,1,,0,1,0,,,1,0,0,1,,1,0,,,,,,0,0,0,1,1,0,,0,1,1,,,1,1,0,1,0,1,0,0,0,0,,0,1,1,,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,0,,1,1,1,,,1,1,,,,,,,
643,2023,0,0,1,,,0,0,0,1,0,1,1,,0,,,,,1,0,,0,,0,,0,0,0,0,1,0,,0,,0,,,,,0,,0,0,0,,,1,0,1,0,,1,1,,,,,,0,0,0,1,0,0,,1,1,0,,,1,1,0,1,0,0,0,0,0,0,,0,0,0,,,1,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0,,1,1,0,,,1,1,,,,,,,
640,2023,1,1,1,,,0,0,0,1,1,1,0,,0,,,,,1,1,,0,,0,1,1,1,1,1,0,0,,1,,0,,,,,1,,0,1,1,,,1,0,1,0,,1,0,1,,,,,0,0,1,1,1,0,,0,1,0,,,1,1,0,0,0,0,1,0,0,1,,1,0,1,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,,0,0,,1,,1,,,1,1,,1,,,,,
639,2023,0,0,1,,,0,0,0,0,0,0,0,,0,,,,,0,1,,0,,1,,0,1,0,0,0,0,,0,,0,,,,,1,,0,0,1,,,0,0,0,0,,0,1,,,,,,0,0,0,0,0,0,,0,1,0,,,0,0,0,0,1,1,0,0,0,0,,0,0,0,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,,0,,0,,,1,1,,,,,,,
638,2023,0,1,1,,,0,0,0,1,1,0,0,,0,,,,,0,1,,0,,1,,0,1,0,1,1,0,,0,,1,,,,,1,,0,0,0,,,0,0,1,0,,1,1,,,,,,0,0,1,0,0,0,,0,0,1,,,1,0,0,1,1,1,0,0,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,0,0,,1,,0,,1,1,,,1,,,,,
637,2023,1,0,1,,,0,0,0,1,0,1,1,,1,,,,,0,1,,0,,0,,0,0,0,1,1,0,,1,,0,,,,,1,,0,0,0,,,1,0,1,0,,1,1,,,,,,0,0,1,1,0,0,,1,1,1,,,1,0,0,1,1,0,1,0,0,1,,1,0,1,,,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,,1,,0,,1,1,1,,,,,,,
635,2023,1,1,0,,,0,0,1,1,0,1,1,,1,,,,,1,1,,0,,0,,1,1,0,1,1,0,,1,,0,,,,,1,,0,1,0,,,1,0,0,0,,1,0,1,,,,,0,0,1,1,1,1,,0,1,0,1,,1,1,0,0,1,1,0,1,0,0,,1,1,0,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,0,0,,1,,0,,,1,1,,1,,,,,1
628,2023,1,1,1,,,0,0,0,1,1,0,1,,0,,,,,0,0,,0,,0,,1,0,0,1,1,0,,0,,1,,,,,1,,0,1,1,,,0,0,1,1,,1,1,1,,,,,0,0,0,0,1,0,,0,0,0,,,1,1,0,1,1,1,0,1,0,0,,0,0,1,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,,,0,0,,1,1,1,,1,1,1,1,,,,,,
627,2023,0,1,1,,,0,0,0,1,1,1,1,,1,,,,,1,1,,0,,1,,1,1,1,1,1,0,,1,,1,,,,,1,,0,1,0,,,1,0,0,1,,1,1,,,,,,0,0,0,0,0,0,,1,0,1,,,1,1,0,1,1,1,0,0,0,0,,0,0,1,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,,1,1,0,,,1,1,1,,,,,,
624,2023,0,0,1,,,0,0,0,0,0,0,0,,0,,,,,0,1,,0,,0,,1,0,0,0,0,0,,0,,1,,,,,1,,0,1,1,,,0,0,0,0,,1,1,,,,,,0,0,0,1,0,0,,0,1,0,,,1,1,0,1,1,1,0,0,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,1,0,,0,,0,,1,1,,,,,1,1,1,
622,2023,1,1,1,,,0,0,0,1,1,1,1,,1,,,,,1,1,,0,,1,,1,1,1,1,1,0,,1,,0,,,,,1,,0,0,1,,,0,0,0,1,,1,1,1,,,,,0,0,0,1,0,0,,0,0,0,1,,1,1,0,0,1,1,1,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,0,0,,1,,0,,1,1,1,,,,,,,
620,2023,0,0,1,,,0,0,0,1,0,0,0,,0,,,,,1,1,,0,,0,,0,0,0,0,1,0,,1,,1,,,,,1,,0,0,1,,,1,0,1,0,,1,1,1,,,,,0,0,0,0,0,1,,0,1,0,,,1,0,0,1,1,1,0,0,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,,1,1,0,,,1,1,,,,,,,
619,2023,0,1,1,,,0,0,0,1,1,1,1,,0,,,,,1,1,,0,,0,,0,0,1,0,0,0,,1,,1,,,,,1,,0,0,0,,,1,0,1,1,,1,0,1,,,,,0,0,1,1,0,0,,1,1,1,,,0,1,0,1,1,1,0,1,0,0,,0,1,1,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,,0,0,,1,,1,,1,1,1,,,,,,,1
615,2023,1,0,1,,,0,0,0,0,0,0,0,,1,,,,,1,1,,0,,1,,1,1,0,0,1,0,,1,,1,,,,,0,,0,1,1,,,1,0,0,0,,1,1,,,,,,0,0,1,0,1,1,,0,1,0,,,1,0,0,1,1,1,0,0,0,0,,0,1,0,,,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,,1,0,,0,,1,,1,,1,,,,,,,
608,2023,0,0,0,,,0,0,0,0,0,1,1,,0,,,,,1,1,,0,,1,,0,0,0,0,1,0,,1,,0,,,,,1,,0,0,0,,,0,0,0,0,,0,0,1,,,,,0,0,0,0,1,0,,0,0,0,,,1,0,0,1,1,1,0,0,0,0,,0,1,0,,,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,0,0,,1,,0,,,1,1,,,,,,,
607,2023,0,1,1,,,0,0,0,1,0,1,1,,1,,,,,1,1,,0,,1,,1,1,1,1,1,0,,0,,1,,,,,1,,0,0,0,,,1,0,0,0,,1,1,1,,,,,0,0,1,0,1,1,,0,1,1,,,1,0,0,0,1,1,0,1,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,,0,,0,,1,1,,,1,,,,,
605,2023,1,0,1,,,0,0,0,0,0,1,0,,0,,,,,1,1,,0,,1,,0,1,1,0,0,0,,0,,0,,,,,0,,0,0,0,,,0,0,1,1,,0,0,,,,,,0,0,1,1,0,0,,0,1,0,1,,1,1,0,1,0,0,0,0,0,0,,1,1,0,,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,,,0,0,,1,,1,,1,,1,1,,,,,,
604,2023,1,0,1,,,0,0,0,1,1,0,0,,0,,,,,1,1,,0,,1,,0,0,1,0,1,0,,0,,1,,,,,1,,0,1,1,,,1,0,0,0,,0,1,,,,,,0,0,1,1,1,0,,1,1,1,1,,0,0,0,0,1,1,0,0,0,1,,0,1,0,,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,,0,0,,0,,1,,,1,1,,,,,,,
600,2023,1,1,1,,,0,0,0,1,1,1,1,,1,,,,,1,1,,0,,0,1,1,1,0,1,0,0,,1,,1,,,,,1,,0,1,0,,,1,0,1,1,,1,1,,,,,,0,0,1,1,0,0,,0,0,0,,,1,1,0,0,0,1,1,1,0,1,,1,1,0,,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,,,0,0,,1,1,1,,1,1,1,,1,,,,,
588,2023,1,1,0,,,0,0,1,1,1,1,1,,0,,,,,0,0,,0,,1,,1,1,1,1,0,0,,1,,0,,,,,1,,0,0,1,,,1,0,1,1,,0,1,1,,,,,0,0,1,0,1,0,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,,1,,0,,,,1,,,,,,,
587,2023,1,1,1,,,0,0,1,1,1,1,0,,0,,,,,1,0,,0,,1,,1,1,0,1,1,0,,0,,1,,,,,1,,0,0,1,,,1,0,1,0,,0,1,,,,,,0,0,0,1,1,1,,0,0,0,,,1,0,0,0,0,0,0,0,0,0,,0,0,1,,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,0,,1,,0,,,,,,,,,,,
577,2023,0,1,1,,,0,0,0,1,0,1,0,,1,,,,,1,1,,0,,0,1,0,1,1,0,1,0,,0,,1,,,,,1,,0,1,0,,,1,0,1,1,,1,0,,,,,,0,0,1,0,1,1,,0,1,0,1,,1,1,0,1,0,1,0,0,0,0,,0,0,1,,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,0,0,,0,,0,,,1,1,,,1,,,,1
572,2023,1,1,1,,,0,0,0,1,0,0,0,,1,,,,,1,1,,0,,1,,1,1,1,0,0,0,,1,,1,,,,,1,,0,1,1,,,1,0,0,0,,1,1,,,,,,0,0,1,0,1,0,,1,1,0,,,1,0,0,1,1,1,0,0,0,0,,1,0,0,,,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,,,0,0,,1,1,1,,,1,1,,,,,,,
569,2023,1,1,1,,,0,0,0,1,1,1,1,,1,,,,,1,1,,0,,1,,1,1,1,1,1,0,,1,,1,,,,,1,,0,1,0,,,1,0,1,0,,0,1,1,,,,,0,0,1,1,1,1,,0,1,1,1,,1,1,0,1,1,1,0,1,0,0,,0,1,1,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,,0,0,,1,,1,,,1,1,,,,,,,
568,2023,0,1,1,,,0,0,0,1,1,1,0,,0,,,,,0,0,,0,,1,,1,1,1,0,1,0,,1,,1,,,,,1,,0,0,0,,,0,0,1,0,,0,0,,,,,,0,0,0,0,1,1,,0,0,1,1,,1,1,0,1,0,0,0,1,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,,0,,0,,,1,,,,,,,,
567,2023,0,1,0,,,0,0,0,1,0,1,0,,0,,,,,1,1,,0,,1,,1,0,1,0,1,0,,1,,1,,,,,1,,0,1,0,,,1,0,0,1,,1,1,1,,,,,0,0,1,1,1,1,,1,1,1,,,1,1,0,1,1,0,0,1,0,0,,0,1,1,,,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,,0,,1,,,1,1,,,,,,,
555,2023,1,1,1,,,0,1,0,1,1,1,0,,1,,,,,1,1,,0,,0,1,1,0,0,1,0,0,,1,,1,,,,,1,,0,1,1,,,0,0,1,1,,1,1,1,,,,,0,0,0,1,1,1,,0,1,1,1,,1,1,0,1,1,0,0,1,0,0,,0,1,1,,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,,,0,0,,1,1,1,,1,1,1,,,,,,1,1
